0,1,2,3,4,5,6,7,8,9,10,11
3047,203,8,649,121,5801,247,166,3069,1,29,2
2344,68,23,277,31,930,187,69,741,4,10,3
2763,119,10,242,33,2588,232,125,2145,3,11,3
2826,48,24,268,132,295,181,82,1442,1,29,5
2056,22,11,30,1,960,217,139,371,4,17,4
2205,355,37,120,93,674,150,134,324,4,10,3
2252,328,9,0,0,379,230,171,726,4,16,4
2983,54,11,450,2,876,217,123,1900,3,32,1
2684,347,6,0,0,2630,230,160,2215,1,16,5
3286,161,14,313,62,3254,243,137,2048,1,29,7
3260,135,8,60,-1,4002,237,135,2022,1,38,7
3149,49,15,95,5,3055,207,113,3241,3,24,2
3370,193,13,551,108,4419,250,163,2656,3,33,7
2896,173,9,272,5,1806,245,151,1315,3,32,5
2251,28,28,30,14,1328,168,92,693,4,10,3
2832,94,12,120,13,1154,222,113,840,3,32,1
2644,315,3,0,0,1148,237,164,6207,1,12,2
2908,172,14,541,64,2584,246,145,1891,3,26,5
2275,315,12,30,4,968,230,183,430,4,16,4
3418,143,12,42,0,3151,237,127,1048,3,35,7
2363,90,26,30,11,503,188,51,907,3,4,6
3120,24,6,95,0,2393,227,147,2218,3,32,1
2678,112,26,60,-25,180,202,58,600,1,30,5
3007,327,37,402,164,1541,170,189,990,3,33,1
3430,165,26,95,20,1173,238,119,1101,2,40,7
2276,122,13,470,118,1423,229,114,920,4,2,4
2569,84,5,488,16,1253,231,139,1482,3,2,5
2387,277,17,30,9,1302,241,207,323,4,10,6
3011,160,20,90,10,3437,240,125,5937,1,29,2
3011,108,3,0,0,2970,236,146,2190,3,23,1
2996,70,10,67,7,2805,220,120,806,1,29,1
2271,122,25,175,78,937,211,70,1364,4,3,4
2290,237,22,361,170,1040,253,208,524,4,3,4
3195,51,16,60,1,1902,202,105,4487,2,22,1
2418,74,14,0,0,741,212,104,1132,4,5,4
2473,30,14,579,83,1129,208,127,433,4,6,3
3247,162,2,752,72,4283,239,154,2467,1,29,1
2036,34,20,331,74,658,193,109,726,4,10,6
2311,290,20,300,137,1293,233,211,875,4,10,6
2734,128,16,362,100,2553,228,107,2164,3,10,3
3209,100,23,242,40,1319,201,66,1296,1,30,7
2797,97,17,60,7,612,214,93,960,3,33,1
2209,190,30,0,0,1489,246,154,891,4,17,4
2715,39,6,240,15,684,226,141,1744,1,12,1
2731,59,23,192,64,212,186,77,1825,1,29,5
2869,166,9,330,147,1825,243,148,700,3,32,5
2135,343,11,0,0,1360,224,164,1392,4,17,4
2207,106,36,201,135,618,171,12,127,4,3,4
2208,62,33,362,10,690,154,34,702,4,6,3
2293,124,21,30,9,534,220,88,819,4,4,3
2833,146,16,180,82,2040,236,121,841,3,13,5
2332,225,26,324,38,933,253,204,480,4,6,4
3620,347,9,300,83,1786,225,161,1797,2,40,7
2550,222,32,255,130,1608,250,205,664,3,4,3
2141,143,26,175,132,379,223,87,395,4,6,3
3192,172,22,450,38,3471,244,135,878,3,33,2
2284,272,22,180,97,918,240,220,551,4,1,3
2820,110,21,190,95,2002,211,78,511,3,13,5
3502,20,13,603,154,4291,211,136,3369,3,40,7
2822,7,8,443,60,3205,224,151,1302,3,32,2
2269,117,24,134,44,531,210,71,1761,4,3,4
2130,82,7,0,0,1301,228,132,649,4,3,4
2028,22,12,30,5,484,214,137,577,4,10,4
3117,71,10,0,0,3944,221,121,3194,3,22,1
2046,300,9,30,2,811,236,182,633,4,17,4
2728,170,24,30,-1,2310,242,130,577,3,4,5
2140,342,15,0,0,1321,217,167,1410,4,17,4
2737,303,25,85,35,1260,219,212,1426,3,24,1
3202,229,9,258,35,2976,249,179,962,3,32,2
2130,262,22,216,124,283,245,220,484,4,10,3
2967,7,15,360,32,5139,208,143,1825,1,29,5
3162,74,15,134,0,2794,211,102,1890,3,31,1
2705,315,5,124,18,1766,236,168,3737,1,12,2
2399,331,7,108,21,595,231,167,1366,4,11,6
2872,284,15,270,-11,1409,239,201,1556,3,32,2
2398,111,30,216,64,1050,191,40,912,4,3,3
3052,148,16,60,-5,685,237,122,1345,1,30,1
3040,297,8,335,5,1889,238,179,2051,3,31,2
3381,151,23,67,-1,2678,233,107,577,3,39,7
2795,78,10,0,0,2218,222,120,3140,1,20,1
2217,84,30,240,166,516,173,34,228,4,3,4
2722,76,4,600,105,1106,232,143,834,1,12,2
2949,251,10,400,43,5555,247,187,5026,1,29,2
3109,339,8,228,35,2107,228,164,2340,3,32,2
3252,86,10,607,119,830,224,120,5585,2,22,1
2694,130,22,108,40,1470,222,89,752,1,30,5
2925,304,13,272,-50,1277,233,188,474,3,23,2
2368,285,19,277,99,1170,236,210,216,4,10,6
2337,153,16,212,108,973,239,125,768,4,6,3
