Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness,Soil_type,Cover_Type
0.833592535,0.183333333,0.121212121,0.261989979,0.113144759,0.813966559,0.885826772,0.515748031,0.312839816,0.25,0.725,2
0.667962675,0.536111111,0.363636364,0.107372942,0.086522463,0.176900379,0.988188976,0.637795276,0.180538129,0.75,0.075,3
0.862623121,0.011111111,0.166666667,0.369362921,0.15640599,0.101447239,0.862204724,0.590551181,0.233793392,0.75,0.775,7
0.706842924,0.033333333,0.166666667,0.042949177,0.008319468,0.215259238,0.854330709,0.570866142,0.180956364,0.75,0.25,5
0.713841369,0.994444444,0.090909091,0.12884753,0.034941764,0.360685682,0.901574803,0.614173228,0.784887774,0.25,0.3,2
0.550285122,0.655555556,0.333333333,0.125268432,0.098169717,0.071659407,0.996062992,0.818897638,0.119057577,1,0.05,3
0.591757387,0.341666667,0.212121212,0.021474588,0.013311148,0.029787832,0.897637795,0.437007874,0.050885264,1,0.275,3
0.867807154,0.222222222,0.136363636,0.257695061,0.036605657,0.147534073,0.877952756,0.480314961,0.194758121,0.75,0.975,7
0.854069466,0.997222222,0.242424242,0.375089477,0.118136439,0.395812842,0.826771654,0.594488189,0.471490311,0.75,0.8,7
0.762052877,0.783333333,0.136363636,0.030064424,0.008319468,0.676549108,0.948818898,0.732283465,0.27756866,0.25,0.725,5
0.84836703,0.45,0.212121212,0.191839656,0.081530782,0.46227343,0.956692913,0.539370079,0.280775129,0.25,0.725,7
0.576205288,0.333333333,0.53030303,0.136005727,0.183028286,0.140368133,0.736220472,0.118110236,0.054509968,1,0.075,4
0.76412649,0.558333333,0.409090909,0.257695061,0.229617304,0.25642827,0.988188976,0.681102362,0.131325805,0.75,0.325,2
0.830482115,0.008333333,0.257575758,0.125268432,0.079866889,0.261346073,0.811023622,0.57480315,0.2899763,0.75,0.825,2
0.769310524,0.316666667,0.393939394,0.303507516,0.372712146,0.268793031,0.803149606,0.244094488,0.096612296,0.75,0.325,5
0.595127009,0.097222222,0.257575758,0.115962777,0.048252912,0.021076296,0.787401575,0.448818898,0.163111669,0.75,0.275,3
0.701140487,0.041666667,0.166666667,0.211166786,0.044925125,0.325558522,0.858267717,0.562992126,0.250941029,0.75,0.8,6
0.666666667,0.075,0.318181818,0.085898354,0.039933444,0.039763945,0.748031496,0.440944882,0.189042242,0.75,0.25,6
0.663815448,0.952777778,0.090909091,0.143879742,0.036605657,0.206688211,0.905511811,0.637795276,0.216645755,0.75,0.05,5
0.760238466,0.819444444,0.227272727,0.047959914,0.008319468,0.363917381,0.921259843,0.783464567,0.093545239,0.75,0.55,1
0.809745982,0.675,0.090909091,0.286327845,0.181364393,0.079246874,0.964566929,0.692913386,0.139829918,0.75,0.8,2
0.643597719,0.905555556,0.181818182,0.107372942,0.03327787,0.008430518,0.88976378,0.692913386,0.056879967,1,0.15,3
0.66874028,0.202777778,0.090909091,0.334287759,0.209650582,0.095545876,0.901574803,0.535433071,0.159765788,0.75,0.05,6
0.570502851,0.913888889,0.333333333,0.030064424,0.024958403,0.200365322,0.818897638,0.716535433,0.08364701,1,0.25,6
0.730689476,0.505555556,0.409090909,0.064423765,0.06156406,0.143599831,0.964566929,0.566929134,0.424926809,0.75,0.1,5
0.749870399,0.430555556,0.166666667,0.364352183,0.09484193,0.343122102,0.948818898,0.547244094,0.35215391,0.25,0.725,2
0.622861586,0.141666667,0.287878788,0.060844667,0.024958403,0.109456232,0.767716535,0.377952756,0.150564617,1,0.25,6
0.65163297,0.205555556,0.348484848,0.047959914,0.006655574,0.256006744,0.744094488,0.25984252,0.077094661,0.75,0.25,6
0.717470192,0.933333333,0.287878788,0.151753758,0.058236273,0.236335535,0.826771654,0.68503937,0.161438729,0.75,0.25,5
0.726283048,0.108333333,0.242424242,0.269148175,0.143094842,0.260362512,0.799212598,0.452755906,0.134671685,0.75,0.275,5
0.78745464,0.919444444,0.090909091,0.042949177,0.004991681,0.301250527,0.913385827,0.653543307,0.26181514,0.75,0.8,2
0.645671332,0.975,0.075757576,0,0,0.163973584,0.913385827,0.622047244,0.143036386,0.75,0.425,6
0.755832037,0.011111111,0.242424242,0.136005727,0.06655574,0.322748349,0.81496063,0.570866142,0.297783354,0.75,0.825,1
0.549766719,0.497222222,0.378787879,0.021474588,0.004991681,0.080511451,0.964566929,0.55511811,0.065523491,1,0.1,4
0.727579057,0.094444444,0.075757576,0.18468146,0.016638935,0.063228889,0.897637795,0.57480315,0.080440541,0.25,0.75,5
0.619751166,0.463888889,0.257575758,0.317108089,0.079866889,0.07756077,0.960629921,0.539370079,0.117245225,1,0.075,3
0.711508554,0.219444444,0.5,0.095919828,0.15640599,0.021076296,0.637795276,0.090551181,0.313676286,0.25,0.75,5
0.799377916,0.030555556,0.075757576,0.021474588,0.001663894,0.557538289,0.905511811,0.598425197,0.276592778,0.25,0.575,1
0.862104717,0.261111111,0.106060606,0.242662849,0.108153078,0.139103555,0.901574803,0.511811024,0.172452251,0.75,0.975,7
0.589424572,0.208333333,0.454545455,0.231209735,0.336106489,0.083602642,0.661417323,0.145669291,0.035549979,1,0.075,4
0.616640747,0.936111111,0.212121212,0,0,0.15821273,0.866141732,0.669291339,0.113759933,1,0.25,6
0.708916537,0.025,0.090909091,0.115962777,0.036605657,0.299423915,0.893700787,0.598425197,0.199776941,0.25,0.3,2
0.736910316,0.230555556,0.424242424,0.191839656,0.28452579,0.194323451,0.712598425,0.181102362,0.139272271,0.75,0.325,5
0.541472265,0.022222222,0.287878788,0,0,0.071799916,0.783464567,0.539370079,0.109019936,1,0.25,4
0.878693624,0.686111111,0.106060606,0.738725841,0.188019967,0.157931713,0.968503937,0.704724409,0.102467587,0.5,0.575,1
0.573094868,0.125,0.106060606,0,0,0.090487565,0.885826772,0.543307087,0.235187509,1,0.1,4
0.744427164,0.819444444,0.075757576,0.18468146,0.12312812,0.455529015,0.937007874,0.677165354,0.076955249,0.75,0.8,2
0.557283567,0.977777778,0.393939394,0.030064424,0.019966722,0.185892932,0.736220472,0.598425197,0.177471072,1,0.425,4
0.87973043,0.505555556,0.121212121,0.211166786,0.083194676,0.218631446,0.968503937,0.614173228,0.408755054,0.25,0.95,7
0.680663556,0.436111111,0.393939394,0.150322119,0.104825291,0.204580582,0.917322835,0.42519685,0.132301687,0.75,0.1,3
0.528512182,0.244444444,0.378787879,0.021474588,0.009983361,0.071799916,0.744094488,0,0.093545239,1,0.025,4
0.681959565,0.125,0.060606061,0.346456693,0.044925125,0.227623999,0.909448819,0.578740157,0.269622194,0.75,0.05,6
0.577501296,0.886111111,0.075757576,0,0,0.062666854,0.92519685,0.661417323,0.136484037,1,0.4,4
