F2,F3,F1,F11,F4,F6,F10,F9,F5,F7,F12,F8,out,,,,
0.494331551,0.534825034,0.288540646,0.196985816,0.443372692,0.076168224,0.214231928,0.099140961,0.101488744,0.2234,4.712,0.1855,0,,,,
0.508449198,0.540713324,0.285994123,0.182092199,0.485614502,0.0842221,0.228350904,0.118196017,0.091757444,0.02563,5.463,0.1965,0,,0,,
0.462887701,0.515477793,0.304015671,0.187588652,0.456510893,0.057724024,0.229856928,0.081999219,0.102396514,0.1721,5.332,0.1929,0,,,,
0.47657754,0.529777927,0.314397649,0.188297872,0.471312157,0.099312809,0.215361446,0.106755174,0.105918664,0.2087,4.829,0.1294,0,,,,
0.452192513,0.556695828,0.300489716,0.197163121,0.494927657,0.068774052,0.236069277,0.079617337,0.076252723,0.2258,5.734,0.177,0,,,,
0.483850267,0.534993271,0.351811949,0.182624113,0.480292699,0.04059923,0.22063253,0.079617337,0.107697894,0.1624,4.861,0.282,0,,,,
0.496898396,0.583613728,0.30675808,0.175957447,0.450856478,0.014763606,0.217996988,0.085786802,0.087763253,0.2112,4.78,-0.02686,0,,,,
0.460320856,0.552994616,0.2791381,0.197695035,0.462497921,0.057036833,0.239269578,0.105349473,0.108605664,0.1038,5.662,0.1147,0,,,category 1,947
0.485775401,0.559051144,0.312438786,0.183156028,0.45617828,0.054013194,0.242846386,0.080085904,0.062926652,0.1685,5.145,0.05859,0,,,category 2,799
0.472941176,0.534320323,0.318903036,0.178723404,0.450690171,0.052006597,0.217432229,0.13631394,0.030584604,0.2783,5.613,0.1685,0,,,category 3,466
0.481925134,0.551480485,0.310088149,0.197163121,0.474638284,0.030208906,0.213667169,0.084849668,0.054066812,0.2283,5.549,0.07324,0,,,,
0.487058824,0.558882907,0.284818805,0.217907801,0.47663396,0.07784497,0.214608434,0.102967591,0.109477124,0.2124,4.929,0.1562,0,,,,
0.466951872,0.542732167,0.316748286,0.183156028,0.450690171,0.070450797,0.23625753,0.111518938,0.044335512,0.01587,5.376,0.1404,0,,,,
0.501390374,0.535161507,0.290303624,0.192553191,0.481290537,0.048982958,0.179932229,0.102967591,0.085112564,0.2307,5.157,0.2051,0,,,,
0.48342246,0.528768506,0.282664055,0.192021277,0.44985864,0.026509071,0.213290663,0.091526747,0.101960784,0.1929,5.645,0.2197,0,,,,
0.502459893,0.504374159,0.289324192,0.190602837,0.497921171,0.053683342,0.230986446,0.016204608,0.089542484,0.1794,5.686,0.09277,0,,,,
0.471871658,0.558882907,0.299118511,0.189893617,0.480957924,0.040269379,0.230045181,0.07532214,0.076252723,0.09521,5.2,0.1648,0,,,,
0.491122995,0.578566622,0.313222331,0.19822695,0.442707467,0.053353491,0.222703313,0.034318626,0.073129993,0.2271,5.364,0.1343,0,,,,
0.49368984,0.565948856,0.310871694,0.205319149,0.47663396,0.044639912,0.229292169,0.116790316,0.095315904,0.1025,4.751,0.2246,0,,,,
0.506096257,0.538862719,0.297943193,0.178368794,0.49659072,0.074491479,0.233998494,0.111050371,0.078903413,0.177,5.056,0.1306,0,,,,
0.482994652,0.557368775,0.305974535,0.192553191,0.441377016,0.043293018,0.210278614,0.146817649,0.059840232,0.1807,5.443,0.177,0,,,,
0.54973262,0.533142665,0.281684623,0.187234043,0.460668551,0.025500275,0.253200301,0.109137056,0.046550472,0.1599,5.347,0.06836,0,,,,
0.478930481,0.525908479,0.275416259,0.192021277,0.488774322,0.054700385,0.212537651,0.073408825,0.131626725,0.1526,5.348,0.1697,0,,,,
0.495614973,0.541554509,0.322037218,0.185460993,0.422750707,0.048982958,0.224774096,0.090081999,0.119244735,0.2771,4.972,0.155,0,,,,
0.50802139,0.517664872,0.26993144,0.189539007,0.450357559,0.060720176,0.214796687,0.087700117,0.146732026,0.1196,5.724,0.1892,0,,,,
0.508877005,0.558378197,0.301077375,0.178546099,0.461001164,0.05940077,0.212725904,0.099609528,0.080210603,0.3027,5.271,0.1611,0,,,,
0.498395722,0.557368775,0.310088149,0.198758865,0.467487111,0.045629467,0.224209337,0.086762983,0.081554103,0.1892,5.206,0,0,,,,
0.449839572,0.525908479,0.299118511,0.178546099,0.473640446,0.05637713,0.234939759,0.090550566,0.077559913,0.1904,5.625,0.1038,0,,,,
0.511229947,0.531292059,0.356317336,0.182624113,0.41759521,0.037245739,0.211784639,0.041468176,0.098838054,0.1721,5.348,0.09277,0,,,,
0.506524064,0.553499327,0.308129285,0.172287234,0.477132879,0.069131391,0.222891566,0.097227645,0.056717502,0.2393,5.356,0.1013,0,,,,
0.504385027,0.526749664,0.296963761,0.186702128,0.468318643,0.042275976,0.22684488,0.071026943,0.054974582,0.2332,5.017,0.1489,0,,,,
0.484919786,0.530619112,0.319294809,0.1725,0.485448196,0.038262782,0.206137048,0.026692698,0.109912854,0.1184,5.02,0.2039,0,,,,
